file,line,type,commit,author,date,time,timezone,datetime,depth,length
/Users/sohan/Documents/dsc106/lab/style.css,102,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,21
/Users/sohan/Documents/dsc106/lab/style.css,103,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,104,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,105,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,13
/Users/sohan/Documents/dsc106/lab/style.css,106,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,12
/Users/sohan/Documents/dsc106/lab/style.css,107,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,108,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,109,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,11
/Users/sohan/Documents/dsc106/lab/style.css,110,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,18
/Users/sohan/Documents/dsc106/lab/style.css,111,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,21
/Users/sohan/Documents/dsc106/lab/style.css,112,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,14
/Users/sohan/Documents/dsc106/lab/style.css,113,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,18
/Users/sohan/Documents/dsc106/lab/style.css,114,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,115,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,116,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,17
/Users/sohan/Documents/dsc106/lab/style.css,117,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,9
/Users/sohan/Documents/dsc106/lab/style.css,118,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,12
/Users/sohan/Documents/dsc106/lab/style.css,119,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,58
/Users/sohan/Documents/dsc106/lab/style.css,120,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,7
/Users/sohan/Documents/dsc106/lab/style.css,121,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,122,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,123,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,17
/Users/sohan/Documents/dsc106/lab/style.css,124,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,12
/Users/sohan/Documents/dsc106/lab/style.css,125,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,26
/Users/sohan/Documents/dsc106/lab/style.css,126,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,15
/Users/sohan/Documents/dsc106/lab/style.css,127,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,9
/Users/sohan/Documents/dsc106/lab/style.css,128,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,129,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,130,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,20
/Users/sohan/Documents/dsc106/lab/style.css,131,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,8
/Users/sohan/Documents/dsc106/lab/style.css,132,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,133,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,134,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,21
/Users/sohan/Documents/dsc106/lab/style.css,135,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,1,10
/Users/sohan/Documents/dsc106/lab/style.css,136,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,137,css,b3ca347,sohan-shingade,2026-04-10,15:36:16,-07:00,2026-04-10T15:36:16-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,138,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,0,31
/Users/sohan/Documents/dsc106/lab/style.css,139,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,1,12
/Users/sohan/Documents/dsc106/lab/style.css,140,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,1,21
/Users/sohan/Documents/dsc106/lab/style.css,141,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,1,10
/Users/sohan/Documents/dsc106/lab/style.css,142,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,143,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,144,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,0,33
/Users/sohan/Documents/dsc106/lab/style.css,145,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,1,8
/Users/sohan/Documents/dsc106/lab/style.css,146,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,147,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,148,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,0,13
/Users/sohan/Documents/dsc106/lab/style.css,149,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,1,34
/Users/sohan/Documents/dsc106/lab/style.css,150,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,1,49
/Users/sohan/Documents/dsc106/lab/style.css,151,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,1,13
/Users/sohan/Documents/dsc106/lab/style.css,152,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,153,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,154,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,0,24
